नाम-संख्या	नाम	प्रातिपदिकं	अन्त्यवर्णः	लिङ्गम्
४११	प्रणवः	प्रणव	अ	पुं
४१२	पृथुः	पृथु	उ	पुं
४१३	हिरण्यगर्भः	हिरण्यगर्भ	अ	पुं
४१४	शत्रुघ्नः	शत्रुघ्न	अ	पुं
४१५	व्याप्तः	व्याप्त	अ	पुं
४१६	वायुः	वायु	उ	पुं
४१७	अधोक्षजः	अधोक्षज	अ	पुं
४१८	ऋतुः	ऋतु	उ	पुं
४१९	सुदर्शनः	सुदर्शन	अ	पुं
४२०	कालः	काल	अ	पुं
४२१	परमेष्ठी	परमेष्ठिन्	न्	पुं
४२२	परिग्रहः	परिग्रह	अ	पुं
४२३	उग्रः	उग्र	अ	पुं
४२४	संवत्सरः	संवत्सर	अ	पुं
४२५	दक्षः	दक्ष	अ	पुं
४२६	विश्रामः	विराम	अ	पुं
४२७	विश्वदक्षिणः	विश्वदक्षिण	अ	पुं
४२८	विस्तारः	विस्तार	अ	पुं
४२९	स्थावरस्थाणुः	स्थावरस्थाणु	उ	पुं
४३०	प्रमाणम्	प्रमाण	अ	न
४३१	बीजम् अव्ययम्	बीजम् अव्ययम्	अ	न
४३२	अर्थः	अर्थ	अ	पुं
४३३	अनर्थः	अनर्थ	अ	पुं
४३४	महाकोशः	महाकोश	अ	पुं
४३५	महाभोगः	महाभोग	अ	पुं
४३६	महाधनः	महाधन	अ	पुं
४३७	अनिर्विण्णः	अनिर्विण्ण	अ	पुं
४३८	स्थविष्ठः	स्थविष्ठ	अ	पुं
४३९	अभूर्	अभू	ऊ	पुं
४४०	धर्मयुपः	धर्मयुप	अ	पुं
४४१	महामखः	महामख	अ	पुं
४४२	नक्षत्रनेमिः	नक्षत्रनेमि	इ	पुं
४४३	नक्षत्री	नक्षत्रिन्	न्	पुं
४४४	क्षमः	क्षम	अ	पुं
४४५	क्षामः	क्षाम	अ	पुं
४४६	समीहनः	समीहन	अ	पुं
४४७	यज्ञः	यज्ञ	अ	पुं
४४८	इज्यः	इज्य	अ	पुं
४४९	महेज्यः	महेज्य	अ	पुं
४५०	क्रतुः	क्रतु	उ	पुं
४५१	सत्रम्	सत्र	अ	न
४५२	सतांगतिः	सतांगति	इ	पुं
४५३	सर्वदर्शी	सर्वदर्शिन्	न्	पुं
४५४	विमुक्तात्मा	विमुक्तात्मन्	न्	पुं
४५५	सर्वज्ञः	सर्वज्ञ	अ	पुं
४५६	ज्ञानमुत्तमम्	ज्ञानमुत्तम	अ	न
४५७	सुव्रतः	सुव्रत	अ	पुं
४५८	सुमुखः	सुमुख	अ	पुं
४५९	सूक्ष्मः	सूक्ष्म	अ	पुं
४६०	सुघोषः	सुघोष	अ	पुं
४६१	सुखदः	सुखद	अ	पुं
४६२	सुहृत्	सुहृद्	द्	पुं
४६३	मनोहरः	मनोहर	अ	पुं
४६४	जितक्रोधः	जितक्रोध	अ	पुं
४६५	वीरबाहुः	वीरबाहु	उ	पुं
४६६	विदारणः	विदारण	अ	पुं
467	स्वापनः	स्वापन	अ	पुं
468	स्ववशः	स्ववश	अ	पुं
469	व्यापी	व्यापिन्	न्	पुं
470	नैकात्मा	नैकात्मन्	न्	पुं
471	नैककर्मकृत्	नैककर्मकृत्	त्	पुं
472	वत्सरः	वत्सर	अ	पुं
473	वत्सलः	वत्सल	अ	पुं
474	वत्सी	वत्सिन्	न्	पुं
475	रत्नगर्भः	रत्नगर्भ	अ	पुं
476	धनेश्वरः	धनेश्वर	अ	पुं
477	धर्मगुप्	धर्मगुप्	प्	पुं
478	धर्मकृत्	धर्मकृत्	त्	पुं
479	धर्मी	धर्मिन्	न्	पुं
480	सत्	सत्	त्	न
481	असत्	असत्	त्	पुं
482	क्षरम्	क्षर	अ	न
483	अक्षरम्	क्षर	अ	न
484	अविज्ञाता	अविज्ञातृ	ऋ	पुं
485	सहस्रांशुः	सहस्रांशु	उ	पुं
486	विधाता	धातृ	ऋ	पुं
487	कृतलक्षणः	कृतलक्षण	अ	पुं
488	गभस्तिनेमिः	गभस्तिनेमि	इ	पुं
489	सत्त्वस्थः	सत्त्वस्थ	अ	पुं
490	सिंहः	सिंह	अ	पुं
491	भूतमहेश्वरः	भूतमहेश्वर	अ	पुं
492	आदिदेवः	आदिदेव	अ	पुं
493	महादेवः	महादेव	अ	पुं
494	देवेशः	देवेश	अ	पुं
495	देवभृत्	देवभृत्	त्	पुं
496	गुरुः	गुरु	उ	पुं
497	उत्तरः	उत्तर	अ	पुं
498	गोपतिः	गोपति	इ	पुं
499	गोप्ता	गोप्तृ	ऋ	पुं
500	ज्ञानगम्यः	ज्ञानगम्य	अ	पुं
501	पुरातनः	पुरातन	अ	पुं
502	शरीरभूतः	शरीरभूत	अ	पुं
503	भोक्तृ	भोक्तृ	ऋ	पुं
504	कपीन्द्रः	कपीन्द्र	अ	पुं
505	भूरिदक्षिणः	भूरिदक्षिण	अ	पुं
506	सोमपः	सोमप	अ	पुं
507	अमृतपः	अमृतप	अ	पुं
508	सोमः	सोम	अ	पुं
509	पुरुजित्	पुरुजित्	त्	पुं
510	पुरुसत्तमः	पुरुसत्तम	अ	पुं
511	विनयः	विनय	अ	पुं
512	जयः	जय	अ	पुं
513	सत्यसन्धः	सत्यसन्ध	अ	पुं
514	दाशार्हः	दाशार्ह	अ	पुं
515	सात्त्वतां पतिः	सात्त्वतां पति	इ	पुं
516	जीवः	जीव	अ	पुं
517	विनयिता	विनयितृ	ऋ	पुं
518	साक्षी	साक्षिन्	न्	पुं
519	मुकुन्दः	मुकुन्द	अ	पुं
520	अमितविक्रमः	अमितविक्रम	अ	पुं
521	अम्भोनिधिः	अम्भोनिधि	इ	पुं
522	अनन्तात्मा	अनन्तात्मन्	न्	पुं
523	महोदधिः	महोदधि	इ	पुं
524	अन्तकः	अन्तक	अ	पुं
525	अजः	अज	अ	पुं
526	महार्हः	महार्ह	अ	पुं
